time_s,mean_moisture,cumulative_loss_factor,effective_balance_residual
2128.0,2.240858194740501,6.182846172292616e-05,5.033551322419783e-07
2129.0,2.240732572207478,6.185358622961131e-05,5.033555350308916e-07
2130.0,2.2406069599299268,6.187870868520257e-05,5.03355940040251e-07
2131.0,2.240481357902996,6.19038290906692e-05,5.033563428291643e-07
2132.0,2.2403557661218487,6.192894744697924e-05,5.033567456180776e-07
2133.0,2.240230184581651,6.195406375509945e-05,5.03357148406991e-07
2134.0,2.2401046132775706,6.19791780159954e-05,5.033575480872798e-07
2135.0,2.2399790522047924,6.200429023063146e-05,5.03357950432104e-07
2136.0,2.2398535013584944,6.202940039997084e-05,5.033583492242144e-07
2137.0,2.239727960733871,6.205450852497559e-05,5.033587493485925e-07
2138.0,2.2396024303261153,6.207961460660663e-05,5.033591490288813e-07
2139.0,2.2394769101304295,6.210471864582377e-05,5.033595491532594e-07
