time_s,time_h,D_center_m2_s,D_half_radius_m2_s,D_surface_m2_s
188220.0,52.28333333333333,8.973096311690574e-10,7.291515709090127e-10,3.3933715259414945e-12
188280.0,52.3,8.969614274723088e-10,7.288635947449624e-10,3.392341454681326e-12
188340.0,52.31666666666667,8.966134820431494e-10,7.285758351075846e-10,3.3913126482418893e-12
188400.0,52.333333333333336,8.962657946014002e-10,7.282882917591036e-10,3.3902851044626225e-12
188460.0,52.35,8.959183649905633e-10,7.280009645633307e-10,3.3892588215659473e-12
188520.0,52.36666666666667,8.955711926734672e-10,7.277138530715091e-10,3.388233796593194e-12
188580.0,52.38333333333333,8.95224277510174e-10,7.274269571610454e-10,3.387210027852965e-12
188640.0,52.4,8.948776192199099e-10,7.271402765937337e-10,3.386187513188228e-12
188700.0,52.416666666666664,8.945312175264435e-10,7.268538111351074e-10,3.3851662504649798e-12
188760.0,52.43333333333333,8.941850721477881e-10,7.265675605460167e-10,3.3841462375346258e-12
188820.0,52.45,8.938391828062978e-10,7.26281524590872e-10,3.3831274722705266e-12
188880.0,52.46666666666667,8.93493549225139e-10,7.259957030347666e-10,3.382109952549693e-12
188940.0,52.483333333333334,8.931481711276554e-10,7.257100956429523e-10,3.381093676253283e-12
189000.0,52.5,8.928030482376197e-10,7.254247021810513e-10,3.3800786412670584e-12
189060.0,52.516666666666666,8.924581804018185e-10,7.251395225157071e-10,3.3790648458563323e-12
189120.0,52.53333333333333,8.921135670884849e-10,7.248545562027652e-10,3.3780522871163233e-12
189180.0,52.55,8.917692081607182e-10,7.245698031222648e-10,3.3770409633970334e-12
189240.0,52.56666666666667,8.914251033417184e-10,7.24285263039409e-10,3.3760308725877125e-12
189300.0,52.583333333333336,8.910812523591321e-10,7.240009357230607e-10,3.3750220126000758e-12
189360.0,52.6,8.907376549349459e-10,7.237168209374773e-10,3.3740143813315265e-12
189420.0,52.61666666666667,8.90394310795412e-10,7.234329184504195e-10,3.373007976700901e-12
189480.0,52.63333333333333,8.900512196675876e-10,7.231492280303154e-10,3.372002796630786e-12
189540.0,52.65,8.897083812787052e-10,7.228657494457583e-10,3.370998839047608e-12
189600.0,52.666666666666664,8.893657953564174e-10,7.225824824657e-10,3.3699961018823853e-12
189660.0,52.68333333333333,8.890234617507362e-10,7.222994269595651e-10,3.3689945834421076e-12
189720.0,52.7,8.886813799352155e-10,7.22016582487732e-10,3.3679942808745762e-12
189780.0,52.71666666666667,8.883395497759348e-10,7.217339489328208e-10,3.3669951925700623e-12
189840.0,52.733333333333334,8.87997970999995e-10,7.214515260633802e-10,3.3659973164629432e-12
189900.0,52.75,8.876566433388611e-10,7.21169313651555e-10,3.3650006505094858e-12
189960.0,52.766666666666666,8.873155665184176e-10,7.208873114649405e-10,3.364005192651843e-12
190020.0,52.78333333333333,8.869747402687488e-10,7.206055192745869e-10,3.363010940853241e-12
190080.0,52.8,8.866341643207374e-10,7.203239368522092e-10,3.362017893080535e-12
190140.0,52.81666666666667,8.862938384054367e-10,7.200425639696759e-10,3.3610260473043715e-12
190200.0,52.833333333333336,8.859537622543125e-10,7.197614003992123e-10,3.3600354014998154e-12
190260.0,52.85,8.856139357205435e-10,7.194804460129728e-10,3.359045954014409e-12
190320.0,52.86666666666667,8.85274358282917e-10,7.191997003757977e-10,3.3580577020473235e-12
190380.0,52.88333333333333,8.849350298104403e-10,7.18919163372837e-10,3.3570706440279865e-12
190440.0,52.9,8.845959500340501e-10,7.186388347759303e-10,3.3560847779347164e-12
190500.0,52.916666666666664,8.842571186889598e-10,7.183587143604391e-10,3.355100101767174e-12
190560.0,52.93333333333333,8.83918535504886e-10,7.180788018972482e-10,3.3541166135111466e-12
190620.0,52.95,8.8358020021568e-10,7.177990971606376e-10,3.353134311173108e-12
190680.0,52.96666666666667,8.832421125559836e-10,7.175195999255453e-10,3.3521531927630786e-12
190740.0,52.983333333333334,8.829042722606068e-10,7.17240309967066e-10,3.35117325629472e-12
190800.0,53.0,8.825666790647595e-10,7.169612270606375e-10,3.3501944997860765e-12
190860.0,53.016666666666666,8.822293328247282e-10,7.166823510810936e-10,3.3492169216241216e-12
190920.0,53.03333333333333,8.818922330244563e-10,7.164036815976665e-10,3.348240519058183e-12
190980.0,53.05,8.815553795358248e-10,7.161252184979894e-10,3.3472652905557492e-12
191040.0,53.06666666666667,8.812187720935327e-10,7.158469615571336e-10,3.346291234138083e-12
191100.0,53.083333333333336,8.808824104364865e-10,7.155689105536243e-10,3.345318347846978e-12
